"","","","","","","","","","5,00%","2,00%","","","","","20%","","","20%","","","","","","","","",""
"RESUMEN LITROS BARRIL","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa ","Ortuzar","7.110","21,1%"," $1.728,30"," $3.815,81","54,7%","11,6%","0%","0,0%"," $1.747,20","1,1%"," $3.815,81","54,2%","11,46%"," $1.747,20"," $3.052,64","42,8%","9,04%"," $3.663,17","52,3%","11,06%","","","","","",""
"Golden ","Ortuzar","12.500","37,2%"," $1.074,15"," $2.493,49","56,9%","21,2%","0%","0,0%"," $1.093,10","1,8%"," $2.493,49","56,2%","20,87%"," $1.093,10"," $1.994,79","45,2%","16,80%"," $2.393,75","54,3%","20,19%","","","","","",""
"Organic Honey ","Ortuzar","5.400","16,1%"," $1.179,15"," $2.581,87","54,3%","8,7%","0%","0,0%"," $1.198,00","1,6%"," $2.581,87","53,6%","8,60%"," $1.198,00"," $2.065,49","42,0%","6,74%"," $2.478,59","51,7%","8,29%","","","","","",""
"Scottish ","Ortuzar","4.550","13,5%"," $1.172,85"," $2.581,87","54,6%","7,4%","0%","0,0%"," $1.191,80","1,6%"," $2.581,87","53,8%","7,28%"," $1.191,80"," $2.065,49","42,3%","5,72%"," $2.478,59","51,9%","7,02%","","","","","",""
"Black Stout FILI","Filidoro","1.618","4,8%"," $1.858,48"," $3.379,05","45,0%","2,2%","0%","0,0%"," $1.858,48","0,0%"," $3.379,05","45,0%","2,16%"," $1.858,48"," $2.703,24","31,3%","1,50%"," $3.243,89","42,7%","2,05%","","","","","",""
"Flow Apa FILI","Filidoro","1.454","4,3%"," $2.258,06"," $4.105,56","45,0%","1,9%","0%","0,0%"," $2.258,06","0,0%"," $4.105,56","45,0%","1,95%"," $2.258,06"," $3.284,45","31,3%","1,35%"," $3.941,34","42,7%","1,85%","","","","","",""
"Cosmica ","Filidoro","1.004","3,0%"," $2.938,16"," $4.197,38","30,0%","0,9%","0%","0,0%"," $2.728,30","-7,1%"," $4.197,38","35,0%","1,04%"," $2.728,30"," $3.357,90","18,7%","0,56%"," $4.029,48","32,3%","0,96%","","","","","",""
"","","33.636","100%"," $1.744,16"," $3.307,86","48,6%","54%","0%","0"," $1.724,99","-1%"," $3.307,86","49,0%","53%"," $1.724,99"," $2.646,29","36,2%","42%"," $3.175,54","46,8%","51%","","","","","",""
"RESUMEN Litros  Lata","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa","Cmq","5.820","34,2%"," $1.053,41"," $1.818,00","42,1%","14,4%","0%","0,0%"," $991,30","-5,9%"," $1.818,00","45,5%","15,55%"," $991,30"," $1.454,40","31,8%","10,89%"," $1.745,28","43,2%","14,77%","","","","","",""
"Indie Golden","Bierhaus","5.410","31,8%"," $1.111,68"," $1.818,00","38,9%","12,4%","0%","0,0%"," $1.117,30","0,5%"," $1.818,00","38,5%","12,25%"," $1.117,30"," $1.454,40","23,2%","7,37%"," $1.745,28","36,0%","11,44%","","","","","",""
"Scottish","Bierhaus","5.005","29,4%"," $1.111,68"," $1.818,00","38,9%","11,4%","0%","0,0%"," $1.117,30","0,5%"," $1.818,00","38,5%","11,33%"," $1.117,30"," $1.454,40","23,2%","6,82%"," $1.745,28","36,0%","10,58%","","","","","",""
"Flow apa","Filidoro","108","0,6%"," $1.813,65"," $3.297,54","45,0%","0,3%","0%","0,0%"," $1.813,65","0,0%"," $3.297,54","45,0%","0,29%"," $1.813,65"," $2.638,03","31,3%","0,20%"," $3.165,64","42,7%","0,27%","","","","","",""
"Black soul Stout","Filidoro","75","0,4%"," $1.807,05"," $3.285,54","45,0%","0,2%","0%","0,0%"," $1.807,05","0,0%"," $3.285,54","45,0%","0,20%"," $1.807,05"," $2.628,43","31,3%","0,14%"," $3.154,12","42,7%","0,19%","","","","","",""
"Cosmica","Filidoro","104","0,6%"," $1.706,25"," $2.625,00","35,0%","0,2%","0%","0,0%"," $1.706,25","0,0%"," $2.625,00","35,0%","0,21%"," $1.706,25"," $2.100,00","18,8%","0,11%"," $2.520,00","32,3%","0,20%","","","","","",""
"Wolf Ipa 0%","Ocaso","497","2,9%"," $1.938,00"," $3.096,31","37,4%","1,1%","0%","0,0%"," $2.063,00","6,4%"," $3.096,31","33,4%","0,97%"," $2.063,00"," $2.477,05","16,7%","0,49%"," $2.972,46","30,6%","0,89%","","","","","",""
"","","17.019","100%"," $1.505,96"," $2.536,91","40,3%","40%","0%","0"," $1.516,55","2%"," $2.536,91","40,9%","41%"," $1.075,30"," $2.029,53","25,2%","26%"," $2.435,44","37,6%","38%","","","","","",""
"","","","","","","","","2493,49","2710,42363","","","","","","","","","","","","","","","","","",""
"Wolf Ipa "," $1.754,49"," $3.815,81","54,0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Golden "," $1.096,52"," $2.493,49","56,0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Organic Honey "," $1.195,94"," $2.581,87","53,7%","","","","","","","","","","","","","","","","","","","","","","","",""
"Scottish "," $1.190,25"," $2.581,87","53,9%","","","","","","","","","","","","","","","","","","","","","","","",""
