"","","","",""," $134.648,33","","","","5,00%","2,00%","","","","","20%","","","20%","","","","","","","","",""
"RESUMEN LITROS BARRIL","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa ","Ortuzar","6.315","20,1%"," $1.912,05"," $4.121,07","53,6%","10,8%","8%","1,6%"," $1.940,73","1,5%"," $4.450,75","56,4%","11,36%"," $1.940,73"," $3.560,60","45,5%","9,16%"," $4.272,72","54,6%","10,99%","","","","","",""
"Golden ","Ortuzar","11.066","35,3%"," $1.218,00"," $2.692,97","54,8%","19,3%","8%","2,8%"," $1.236,27","1,5%"," $2.908,40","57,5%","20,29%"," $1.236,27"," $2.326,72","46,9%","16,54%"," $2.792,07","55,7%","19,66%","","","","","",""
"Organic Honey ","Ortuzar","4.768","15,2%"," $1.348,20"," $2.788,42","51,6%","7,9%","8%","1,2%"," $1.368,42","1,5%"," $3.011,49","54,6%","8,30%"," $1.368,42"," $2.409,19","43,2%","6,57%"," $2.891,03","52,7%","8,01%","","","","","",""
"Scottish ","Ortuzar","4.296","13,7%"," $1.289,40"," $2.788,42","53,8%","7,4%","8%","1,1%"," $1.308,74","1,5%"," $3.011,49","56,5%","7,75%"," $1.308,74"," $2.409,19","45,7%","6,26%"," $2.891,03","54,7%","7,50%","","","","","",""
"Black Stout FILI","Filidoro","1.583","5,0%"," $2.007,17"," $3.649,37","45,0%","2,3%","8%","0,4%"," $2.167,74","8,0%"," $3.941,32","45,0%","2,27%"," $2.167,74"," $3.153,06","31,2%","1,58%"," $3.783,67","42,7%","2,16%","","","","","",""
"Guinnes Extra Stout","Rabieta","1.200","3,8%"," $2.706,47"," $3.649,37","25,8%","1,0%","8%","0,3%"," $2.828,26","4,5%"," $3.941,32","28,2%","1,08%"," $2.828,26"," $3.941,32","28,2%","1,08%"," $3.941,32","28,2%","1,08%","","","","","",""
"Flow Apa FILI","Filidoro","1.330","4,2%"," $2.438,70"," $4.434,01","45,0%","1,9%","8%","0,3%"," $2.633,80","8,0%"," $4.788,73","45,0%","1,91%"," $2.633,80"," $3.830,98","31,3%","1,33%"," $4.597,18","42,7%","1,81%","","","","","",""
"Dipa","Filidoro","400","1,3%"," $2.420,00"," $3.725,00","35,0%","0,4%","8%","0,1%"," $3.112,68","28,6%"," $4.788,73","35,0%","0,45%"," $3.112,68"," $4.788,73","35,0%","0,45%"," $4.788,73","35,0%","0,45%","","","","","",""
"Cosmica ","Filidoro","400","1,3%"," $2.946,56"," $4.533,17","35,0%","0,4%","8%","0,1%"," $3.182,29","8,0%"," $4.895,82","35,0%","0,45%"," $3.182,29"," $4.895,82","35,0%","0,45%"," $4.895,82","35,0%","0,45%","","","","","",""
"","","31.358","100%"," $2.031,84"," $3.597,98","44,4%","51%","8%","8%"," $2.197,66","7%"," $3.970,89","45,9%","54%"," $2.197,66"," $3.479,51","38,0%","43%"," $3.872,62","44,6%","52%","","","","","",""
"RESUMEN Litros  Lata","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa","Cmq","3.600","40,7%"," $921,58"," $1.999,80","53,9%","21,9%","8%","3,3%"," $940,01","2,0%"," $2.159,78","56,5%","22,99%"," $940,01"," $1.599,84","41,2%","16,79%"," $2.047,80","54,1%","22,02%","","","","","",""
"Indie Golden","Bierhaus","1.500","17,0%"," $1.268,88"," $1.999,80","36,5%","6,2%","8%","1,4%"," $1.294,26","2,0%"," $2.159,78","40,1%","6,80%"," $1.294,26"," $1.599,84","19,1%","3,24%"," $2.047,80","36,8%","6,24%","","","","","",""
"Golden Lager Mundial","Bierhaus","1.500","17,0%"," $1.420,90"," $1.999,80","28,9%","4,9%","8%","1,4%"," $1.449,32","2,0%"," $2.159,78","32,9%","5,58%"," $1.449,32"," $1.599,84","9,4%","1,60%"," $2.047,80","29,2%","4,96%","","","","","",""
"Scottish","Bierhaus","1.500","17,0%"," $1.268,88"," $1.999,80","36,5%","6,2%","8%","1,4%"," $1.294,26","2,0%"," $2.159,78","40,1%","6,80%"," $1.294,26"," $1.599,84","19,1%","3,24%"," $2.047,80","36,8%","6,24%","","","","","",""
"Flow apa","Filidoro","100","1,1%"," $1.995,00"," $3.627,29","45,0%","0,5%","8%","0,1%"," $2.154,60","8,0%"," $3.917,48","45,0%","0,51%"," $1.945,47"," $2.901,84","33,0%","0,37%"," $3.714,35","42,0%","0,47%","","","","","",""
"Black soul Stout","Filidoro","73","0,8%"," $1.987,67"," $3.614,09","45,0%","0,4%","8%","0,1%"," $2.146,68","8,0%"," $3.903,22","45,0%","0,37%"," $1.939,00"," $2.891,28","32,9%","0,27%"," $3.700,83","42,0%","0,35%","","","","","",""
"Cosmica","Filidoro","70","0,8%"," $1.876,87"," $2.887,50","35,0%","0,3%","8%","0,1%"," $2.027,02","8,0%"," $3.118,50","35,0%","0,28%"," $2.027,02"," $2.887,50","29,8%","0,24%"," $3.072,30","34,0%","0,27%","","","","","",""
"Wolf Ipa 0%","Ocaso","500","5,7%"," $2.154,48"," $2.990,00","27,9%","1,6%","8%","0,5%"," $1.645,85","-23,6%"," $2.583,36","36,3%","2,05%"," $1.645,85"," $2.392,00","31,2%","1,76%"," $2.545,09","35,3%","2,00%","","","","","",""
"","","8.843","100%"," $1.611,78"," $2.639,76","38,6%","42%","8%","8%"," $1.619,00","1%"," $2.770,21","42,4%","45%"," $1.244,46"," $2.184,00","27,0%","28%"," $2.652,97","38,8%","43%","","","","","",""
"RESUMEN Litros  Lata","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa"," $917,54","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indie Golden"," $1.132,30","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Golden Lager Mundial"," $1.251,50","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scottish"," $1.132,30","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Flow apa"," $1.958,74","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Black soul Stout"," $1.951,61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cosmica"," $1.842,75","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa 0%"," $2.092,20","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COSTOS","diciembre 25","julio 26","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa"," $904,58"," $921,61","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indie Golden"," $904,58"," $1.180,00","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scottish"," $904,58"," $1.180,00","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa 0%"," $1.886,00"," $2.172,25","","","","","","","","","","","","","","","","","","","","","","","","",""
