"","","","",""," $134.648,33","","","","5,00%","2,00%","","","","","20%","","","20%","","","","","","","","",""
"RESUMEN LITROS BARRIL","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa ","Ortuzar","6.315","21,2%"," $1.772,50"," $4.121,07","57,0%","12,1%","0%","0,0%"," $1.863,54","5,1%"," $4.121,07","54,8%","11,63%"," $1.863,54"," $3.296,86","43,5%","9,23%"," $3.956,23","52,9%","11,23%","","","","","",""
"Golden ","Ortuzar","11.066","37,2%"," $1.136,94"," $2.692,97","57,8%","21,5%","0%","0,0%"," $1.191,75","4,8%"," $2.692,97","55,7%","20,73%"," $1.191,75"," $2.154,37","44,7%","16,62%"," $2.585,25","53,9%","20,04%","","","","","",""
"Organic Honey ","Ortuzar","4.768","16,0%"," $1.261,05"," $2.788,42","54,8%","8,8%","0%","0,0%"," $1.322,37","4,9%"," $2.788,42","52,6%","8,42%"," $1.322,37"," $2.230,73","40,7%","6,52%"," $2.676,88","50,6%","8,11%","","","","","",""
"Scottish ","Ortuzar","4.296","14,4%"," $1.209,70"," $2.788,42","56,6%","8,2%","0%","0,0%"," $1.263,15","4,4%"," $2.788,42","54,7%","7,90%"," $1.263,15"," $2.230,73","43,4%","6,26%"," $2.676,88","52,8%","7,62%","","","","","",""
"Black Stout FILI","Filidoro","1.583","5,3%"," $2.007,15"," $3.649,37","45,0%","2,4%","0%","0,0%"," $2.007,15","0,0%"," $3.649,37","45,0%","2,39%"," $2.007,15"," $2.919,50","31,3%","1,66%"," $3.503,40","42,7%","2,27%","","","","","",""
"Flow Apa FILI","Filidoro","1.330","4,5%"," $2.438,70"," $4.434,01","45,0%","2,0%","0%","0,0%"," $2.438,70","0,0%"," $4.434,01","45,0%","2,01%"," $2.438,70"," $3.547,21","31,3%","1,40%"," $4.256,65","42,7%","1,91%","","","","","",""
"Cosmica ","Filidoro","400","1,3%"," $2.946,56"," $4.533,17","35,0%","0,5%","0%","0,0%"," $2.946,58","0,0%"," $4.533,17","35,0%","0,47%"," $2.946,58"," $3.626,53","18,7%","0,25%"," $4.351,84","32,3%","0,43%","","","","","",""
"","","29.758","100%"," $1.824,66"," $3.572,49","50,2%","55%","0%","0%"," $1.861,89","3%"," $3.572,49","49,0%","54%"," $1.861,89"," $2.857,99","36,2%","42%"," $3.429,59","46,8%","52%","","","","","",""
"RESUMEN Litros  Lata","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa","Cmq","2.757","29,4%"," $917,54"," $1.999,80","54,1%","15,9%","0%","0,0%"," $917,54","0,0%"," $1.999,80","54,1%","15,91%"," $917,54"," $1.599,84","42,6%","12,54%"," $1.679,83","45,4%","13,34%","","","","","",""
"Indie Golden","Bierhaus","2.414","25,7%"," $1.132,30"," $1.999,80","43,4%","11,2%","0%","0,0%"," $1.172,00","3,5%"," $1.999,80","41,4%","10,66%"," $1.172,00"," $1.599,84","26,7%","6,89%"," $1.679,83","30,2%","7,78%","","","","","",""
"Golden Lager Mundial","Bierhaus","2.000","21,3%"," $1.251,50"," $1.999,80","37,4%","8,0%","0%","0,0%"," $1.279,56","2,2%"," $1.999,80","36,0%","7,68%"," $1.279,56"," $1.599,84","20,0%","4,27%"," $1.679,83","23,8%","5,08%","","","","","",""
"Scottish","Bierhaus","1.703","18,2%"," $1.132,30"," $1.999,80","43,4%","7,9%","0%","0,0%"," $1.172,00","3,5%"," $1.999,80","41,4%","7,52%"," $1.172,00"," $1.599,84","26,7%","4,86%"," $1.679,83","30,2%","5,49%","","","","","",""
"Flow apa","Filidoro","100","1,1%"," $1.995,00"," $3.627,29","45,0%","0,5%","0%","0,0%"," $1.995,00","0,0%"," $3.627,29","45,0%","0,48%"," $1.945,47"," $2.901,84","33,0%","0,35%"," $3.046,93","34,5%","0,37%","","","","","",""
"Black soul Stout","Filidoro","73","0,8%"," $1.987,67"," $3.614,09","45,0%","0,4%","0%","0,0%"," $1.987,67","0,0%"," $3.614,09","45,0%","0,35%"," $1.939,00"," $2.891,28","32,9%","0,26%"," $3.035,84","34,5%","0,27%","","","","","",""
"Cosmica","Filidoro","70","0,7%"," $1.876,87"," $2.887,50","35,0%","0,3%","0%","0,0%"," $1.876,87","0,0%"," $2.887,50","35,0%","0,26%"," $1.876,87"," $2.887,50","35,0%","0,26%"," $2.887,50","35,0%","0,26%","","","","","",""
"Wolf Ipa 0%","Ocaso","259","2,8%"," $2.092,20"," $2.990,00","30,0%","0,8%","0%","0,0%"," $2.081,00","-0,5%"," $2.990,00","30,4%","0,84%"," $2.081,00"," $2.392,00","13,0%","0,36%"," $2.511,60","17,1%","0,47%","","","","","",""
"","","9.376","100%"," $1.548,17"," $2.639,76","41,7%","45%","0%","0%"," $1.560,21","1%"," $2.639,76","43,2%","44%"," $1.135,28"," $2.184,00","28,8%","30%"," $2.275,15","31,4%","33%","","","","","",""
"","","","",""," $3.405,94","","","","","","","","","","","","","","","","","","","","","",""
"RESUMEN Litros  Lata","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa"," $917,54","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indie Golden"," $1.132,30","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Golden Lager Mundial"," $1.251,50","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scottish"," $1.132,30","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Flow apa"," $1.958,74","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Black soul Stout"," $1.951,61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cosmica"," $1.842,75","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa 0%"," $2.092,20","","","","","","","","","","","","","","","","","","","","","","","","","",""
