"","","","","","","","","","","","","","","","20%","","","20%","","","","","","","","",""
"RESUMEN LITROS BARRIL","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa ","Ortuzar","12.300","26,3%"," $1.551,70"," $3.634,10","57,3%","15,1%","0%","0,0%"," $1.554,00","0,1%"," $3.634,10","57,2%","15,05%"," $1.554,00"," $2.907,28","46,5%","12,24%"," $3.488,74","55,5%","14,58%","","","","","",""
"Golden ","Ortuzar","15.700","33,6%"," $929,60"," $2.374,75","60,9%","20,4%","0%","0,0%"," $932,00","0,3%"," $2.374,75","60,8%","20,38%"," $932,00"," $1.899,80","50,9%","17,09%"," $2.279,76","59,1%","19,83%","","","","","",""
"Scottish ","Ortuzar","6.950","14,9%"," $1.049,50"," $2.458,92","57,3%","8,5%","0%","0,0%"," $1.052,00","0,2%"," $2.458,92","57,2%","8,50%"," $1.052,00"," $1.967,14","46,5%","6,91%"," $2.360,56","55,4%","8,23%","","","","","",""
"Organic Honey ","Ortuzar","7.800","16,7%"," $1.019,70"," $2.458,92","58,5%","9,8%","0%","0,0%"," $1.022,00","0,2%"," $2.458,92","58,4%","9,74%"," $1.022,00"," $1.967,14","48,0%","8,01%"," $2.360,56","56,7%","9,45%","","","","","",""
"Black Stout FILI","Filidoro","2.030","4,3%"," $1.656,63"," $3.218,14","48,5%","2,1%","0%","0,0%"," $1.769,98","6,8%"," $3.218,14","45,0%","1,95%"," $1.656,63"," $2.574,51","35,7%","1,55%"," $3.089,41","42,7%","1,85%","","","","","",""
"Flow Apa FILI","Filidoro","1.221","2,6%"," $2.128,20"," $3.910,06","45,6%","1,2%","0%","0,0%"," $2.150,53","1,0%"," $3.910,06","45,0%","1,17%"," $2.128,20"," $3.128,05","32,0%","0,83%"," $3.753,66","42,7%","1,11%","","","","","",""
"Cosmica ","Filidoro","794","1,7%"," $2.241,21"," $3.997,50","43,9%","0,7%","0%","0,0%"," $2.198,63","-1,9%"," $3.997,50","45,0%","0,76%"," $2.241,21"," $3.198,00","29,9%","0,51%"," $3.837,60","42,7%","0,72%","","","","","",""
"","","46.795","100%"," $1.510,93"," $22.052,39","53,1%","57,8%","0%","0,0%"," $1.525,59","0,1"," $3.150,34","52,7%","57,56%"," $1.512,29"," $2.520,27","41,4%","47,13%"," $3.024,33","50,7%","55,79%","","","","","",""
