"","","","","","","","","","","","","","","","20%","","","20%","","","","","","","","",""
"RESUMEN LITROS BARRIL","Fason","","","Costo Mes ANT","","MARGEN ","Margen Ponderado ","","","Costo Mes ACT","","","","","","","","","","","","","","","","",""
"Wolf Ipa ","Ortuzar","12.300,00","26,7%","","","#DIV/0!","#DIV/0!","0%","0,0%","",""," $3.634,10","100,0%","26,74%"," $1.554,00"," $2.907,28","46,5%","12,45%"," $3.488,74","100,0%","26,74%","","","","","",""
"Golden ","Ortuzar","15.700,00","34,1%","","","#DIV/0!","#DIV/0!","0%","0,0%","",""," $2.374,75","100,0%","34,13%"," $932,00"," $1.899,80","50,9%","17,39%"," $2.279,76","100,0%","34,13%","","","","","",""
"Scottish ","Ortuzar","6.950,00","15,1%","","","#DIV/0!","#DIV/0!","0%","0,0%","",""," $2.458,92","100,0%","15,11%"," $1.052,00"," $1.967,14","46,5%","7,03%"," $2.360,56","100,0%","15,11%","","","","","",""
"Organic Honey ","Ortuzar","7.800,00","17,0%","","","#DIV/0!","#DIV/0!","0%","0,0%","",""," $2.458,92","100,0%","16,96%"," $1.022,00"," $1.967,14","48,0%","8,15%"," $2.360,56","100,0%","16,96%","","","","","",""
"Black Stout FILI","Filidoro","2.030,00","4,4%","","","#DIV/0!","#DIV/0!","0%","0,0%","",""," $3.218,14","100,0%","4,41%"," $1.656,63"," $2.574,51","35,7%","1,57%"," $3.089,41","100,0%","4,41%","","","","","",""
"Flow Apa FILI","Filidoro","1.221,00","2,7%","","","#DIV/0!","#DIV/0!","0%","0,0%","",""," $3.910,06","100,0%","2,65%"," $2.128,20"," $3.128,05","32,0%","0,85%"," $3.753,66","100,0%","2,65%","","","","","",""
"","","46001,0","","#DIV/0!"," $0,00","#DIV/0!","#DIV/0!","0%","0,0","#DIV/0!","0,0"," $3.009,15","100,0%","100,00%"," $1.390,81"," $2.407,32","43,3%","47,43%"," $2.888,78","100,0%","100,00%","","","","","",""
