"","","","",""," $134.648,33","","","","5,00%","2,00%","","","","","20%","","","20%","","","","","","","","",""
"RESUMEN LITROS BARRIL","","","","","","","","%Aumento Recomendado","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa ","","6.315","21,2%"," $1.863,54"," $4.121,07","54,8%","11,6%","0%","0,0%"," $1.912,05","2,6%"," $4.121,07","53,6%","11,38%"," $1.912,05"," $3.296,86","42,0%","8,91%"," $3.956,23","51,7%","10,96%","","","","","",""
"Golden ","","11.066","37,2%"," $1.191,75"," $2.692,97","55,7%","20,7%","0%","0,0%"," $1.218,00","2,2%"," $2.692,97","54,8%","20,37%"," $1.218,00"," $2.154,37","43,5%","16,16%"," $2.585,25","52,9%","19,67%","","","","","",""
"Organic Honey ","","4.768","16,0%"," $1.322,37"," $2.788,42","52,6%","8,4%","0%","0,0%"," $1.348,20","2,0%"," $2.788,42","51,6%","8,28%"," $1.348,20"," $2.230,73","39,6%","6,34%"," $2.676,88","49,6%","7,95%","","","","","",""
"Scottish ","","4.296","14,4%"," $1.263,15"," $2.788,42","54,7%","7,9%","0%","0,0%"," $1.289,40","2,1%"," $2.788,42","53,8%","7,76%"," $1.289,40"," $2.230,73","42,2%","6,09%"," $2.676,88","51,8%","7,48%","","","","","",""
"Black Stout FILI","","1.583","5,3%"," $2.007,15"," $3.649,37","45,0%","2,4%","0%","0,0%"," $2.007,17","0,0%"," $3.649,37","45,0%","2,39%"," $2.007,17"," $2.919,50","31,2%","1,66%"," $3.503,40","42,7%","2,27%","","","","","",""
"Flow Apa FILI","","1.330","4,5%"," $2.438,70"," $4.434,01","45,0%","2,0%","0%","0,0%"," $2.438,70","0,0%"," $4.434,01","45,0%","2,01%"," $2.438,70"," $3.547,21","31,3%","1,40%"," $4.256,65","42,7%","1,91%","","","","","",""
"Cosmica ","","400","1,3%"," $2.946,58"," $4.533,17","35,0%","0,5%","0%","0,0%"," $2.946,56","0,0%"," $4.533,17","35,0%","0,47%"," $2.946,56"," $3.626,53","18,7%","0,25%"," $4.351,84","32,3%","0,43%","","","","","",""
"","","29.758","100%"," $1.861,89"," $3.572,49","49,0%","54%","0%","0%"," $1.880,01","1%"," $3.572,49","48,4%","53%"," $1.880,01"," $2.857,99","35,5%","41%"," $3.429,59","46,2%","51%","","","","","",""
"RESUMEN Litros  Lata","","","","","","","","%Aumento Recomendado","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa","","2.757","29,4%"," $917,54"," $1.999,80","54,1%","15,9%","0%","0,0%"," $917,54","0,0%"," $1.999,80","54,1%","15,91%"," $917,54"," $1.599,84","42,6%","12,54%"," $1.679,83","45,4%","13,34%","","","","","",""
"Indie Golden","","2.414","25,7%"," $1.172,00"," $1.999,80","41,4%","10,7%","0%","0,0%"," $1.268,88","8,3%"," $1.999,80","36,5%","9,41%"," $1.268,88"," $1.599,84","20,7%","5,33%"," $1.679,83","24,5%","6,30%","","","","","",""
"Golden Lager Mundial","","2.000","21,3%"," $1.279,56"," $1.999,80","36,0%","7,7%","0%","0,0%"," $1.420,90","11,0%"," $1.999,80","28,9%","6,17%"," $1.420,90"," $1.599,84","11,2%","2,39%"," $1.679,83","15,4%","3,29%","","","","","",""
"Scottish","","1.703","18,2%"," $1.172,00"," $1.999,80","41,4%","7,5%","0%","0,0%"," $1.268,88","8,3%"," $1.999,80","36,5%","6,64%"," $1.268,88"," $1.599,84","20,7%","3,76%"," $1.679,83","24,5%","4,44%","","","","","",""
"Flow apa","","100","1,1%"," $1.995,00"," $3.627,29","45,0%","0,5%","0%","0,0%"," $1.995,00","0,0%"," $3.627,29","45,0%","0,48%"," $1.945,47"," $2.901,84","33,0%","0,35%"," $3.046,93","34,5%","0,37%","","","","","",""
"Black soul Stout","","73","0,8%"," $1.987,67"," $3.614,09","45,0%","0,4%","0%","0,0%"," $1.987,67","0,0%"," $3.614,09","45,0%","0,35%"," $1.939,00"," $2.891,28","32,9%","0,26%"," $3.035,84","34,5%","0,27%","","","","","",""
"Cosmica","","70","0,7%"," $1.876,87"," $2.887,50","35,0%","0,3%","0%","0,0%"," $1.876,87","0,0%"," $2.887,50","35,0%","0,26%"," $1.876,87"," $2.887,50","35,0%","0,26%"," $2.887,50","35,0%","0,26%","","","","","",""
"Wolf Ipa 0%","","259","2,8%"," $2.081,00"," $2.990,00","30,4%","0,8%","0%","0,0%"," $2.154,48","3,5%"," $2.990,00","27,9%","0,77%"," $2.154,48"," $2.392,00","9,9%","0,27%"," $2.511,60","14,2%","0,39%","","","","","",""
"","","9.376","100%"," $1.560,21"," $2.639,76","41,0%","44%","0%","0%"," $1.611,28","4%"," $2.639,76","39,0%","40%"," $1.219,05"," $2.184,00","25,8%","25%"," $2.275,15","28,5%","29%","","","","","",""
"","","","",""," $3.405,94","","","","","","","","","","","","","","","","","","","","","",""
"RESUMEN Litros  Lata","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa"," $921,61"," $1.999,80","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indie Golden"," $1.180,00"," $1.999,80","","","","","","","","","","","","","","","","","","","","","","","","",""
"Golden Lager Mundial"," $1.338,00"," $1.999,80","","","","","","Estilos","","","","","","","","","","","","","","","","","","",""
"Scottish"," $1.180,00"," $1.999,80","","","","","","Wolf Ipa barril"," $1.912,05"," $4.121,07",""," $95.602,50"," $206.053,47","","","","","","","","","","","","","",""
"Flow apa"," $1.995,00"," $3.627,29","","","","","","Golden barril"," $1.218,00"," $2.692,97",""," $60.900,00"," $134.648,33","","","","","","","","","","","","","",""
"Black soul Stout"," $1.987,67"," $3.614,09","","","","","","Organic Honey barril"," $1.348,20"," $2.788,42",""," $67.410,00"," $139.420,76","","","","","","","","","","","","","",""
"Cosmica"," $1.876,87"," $2.887,50","","","","","","Scottish barril"," $1.289,40"," $2.788,42",""," $64.470,00"," $139.420,76","","","","","","","","","","","","","",""
"Wolf Ipa 0%"," $2.172,25"," $2.990,00","","","","","","Black Stout  barril"," $2.007,17"," $3.649,37",""," $100.358,50"," $182.468,54","","","","","","","","","","","","","",""
"","","","","","","","","Flow Apa barril"," $2.438,70"," $4.434,01",""," $121.935,00"," $221.700,40","","","","","","","","","","","","","",""
"","","","","","","","","Guinness Extra stout barril"," $2.706,47"," $3.649,37",""," $135.323,50"," $182.468,54","","","","","","","","","","","","","",""
"COSTOS","diciembre 25","julio 26","","","","","","Cosmica "," $2.946,56"," $4.533,17",""," $147.328,03"," $226.658,25","","","","","","","","","","","","","",""
"Wolf Ipa"," $904,58"," $921,61","","","","","","Wolf Ipa lata"," $917,54"," $1.999,80",""," $5.505,24"," $11.998,80","","","","","","","","","","","","","",""
"Indie Golden"," $904,58"," $1.180,00","","","","","","Indie Golden lata"," $1.268,88"," $1.999,80",""," $7.613,28"," $11.998,80","","","","","","","","","","","","","",""
"Scottish"," $904,58"," $1.180,00","","","","","","Golden Lager Mundial lata"," $1.420,90"," $1.999,80",""," $8.525,40"," $11.998,80","","","","","","","","","","","","","",""
"Wolf Ipa 0%"," $1.886,00"," $2.172,25","","","","","","Scottish lata"," $1.268,88"," $1.999,80",""," $7.613,28"," $11.998,80","","","","","","","","","","","","","",""
"","","","","","","","","Flow apa lata"," $1.995,00"," $3.627,29",""," $11.970,00"," $21.763,76","","","","","","","","","","","","","",""
"","","","","","","","","Black soul Stout lata"," $1.987,67"," $3.614,09",""," $11.926,02"," $21.684,56","","","","","","","","","","","","","",""
"","","","","","","","","Cosmica lata"," $1.876,87"," $2.887,50",""," $11.261,22"," $17.325,00","","","","","","","","","","","","","",""
"estilo","","","","","","","","Wolf Ipa 0% lata"," $2.154,48"," $2.990,00",""," $12.926,88"," $17.940,00","","","","","","","","","","","","","",""
"Wolf Ipa "," $1.912,05"," $4.121,07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Golden "," $1.218,00"," $2.692,97","","","","","","","","","","","","","","","","","","","","","","","","",""
"Organic Honey "," $1.348,20"," $2.788,42","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scottish "," $1.289,40"," $2.788,42","","","","","","","","","","","","","","","","","","","","","","","","",""
"Black Stout FILI"," $2.007,17"," $3.649,37","","","","","","","","","","","","","","","","","","","","","","","","",""
"Flow Apa FILI"," $2.438,70"," $4.434,01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cosmica "," $2.946,56"," $4.533,17","","","","","","","","","","","","","","","","","","","","","","","","",""
