"","","","","","","","","","5,00%","2,00%","","","","","20%","","","20%","","","","","","","","",""
"RESUMEN LITROS BARRIL","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa ","Ortuzar","12.300","26,3%"," $1.629,29"," $3.634,10","55,2%","14,5%","5%","1,3%"," $1.710,45","5,0%"," $3.815,81","55,2%","14,50%"," $1.554,00"," $3.052,64","49,1%","12,90%"," $3.663,17","53,3%","14,01%","","","","","",""
"Golden ","Ortuzar","15.700","33,6%"," $976,08"," $2.374,75","58,9%","19,8%","5%","1,7%"," $1.056,30","8,2%"," $2.493,49","57,6%","19,34%"," $932,00"," $1.994,79","53,3%","17,88%"," $2.393,75","55,9%","18,75%","","","","","",""
"Scottish ","Ortuzar","6.950","14,9%"," $1.101,98"," $2.458,92","55,2%","8,2%","5%","0,7%"," $1.155,00","4,8%"," $2.581,87","55,3%","8,21%"," $1.052,00"," $2.065,49","49,1%","7,29%"," $2.478,59","53,4%","7,93%","","","","","",""
"Organic Honey ","Ortuzar","7.800","16,7%"," $1.070,69"," $2.458,92","56,5%","9,4%","5%","0,8%"," $1.155,00","7,9%"," $2.581,87","55,3%","9,21%"," $1.022,00"," $2.065,49","50,5%","8,42%"," $2.478,59","53,4%","8,90%","","","","","",""
"Black Stout FILI","Filidoro","2.030","4,3%"," $1.656,63"," $3.218,14","48,5%","2,1%","5%","0,2%"," $1.858,48","12,2%"," $3.379,05","45,0%","1,95%"," $1.656,63"," $2.703,24","38,7%","1,68%"," $3.243,89","42,7%","1,85%","","","","","",""
"Flow Apa FILI","Filidoro","1.221","2,6%"," $2.128,20"," $3.910,06","45,6%","1,2%","5%","0,1%"," $2.258,06","6,1%"," $4.105,56","45,0%","1,17%"," $2.128,20"," $3.284,45","35,2%","0,92%"," $3.941,34","42,7%","1,11%","","","","","",""
"Cosmica ","Filidoro","794","1,7%"," $3.067,62"," $3.997,50","23,3%","0,4%","5%","0,1%"," $3.189,56","4,0%"," $4.197,38","24,0%","0,41%"," $2.241,21"," $3.357,90","33,3%","0,56%"," $4.029,48","20,8%","0,35%","","","","","",""
"","","46.795","100%"," $1.661,50"," $3.150,34","49,0%","56%","5%","0"," $1.768,98","48%"," $3.307,86","48,2%","55%"," $1.512,29"," $2.646,29","44,2%","50%"," $3.175,54","46,0%","53%","","","","","",""
"RESUMEN Litros  Lata","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa","Cmq","5.000","84,0%"," $904,58"," $1.722,35","47,5%","39,9%","5%","4,2%"," $904,58","0,0%"," $1.813,00","50,1%","42,11%"," $1.554,00"," $1.450,40","-7,1%","-6,00%"," $1.740,48","48,0%","40,36%","","","","","",""
"Indie Golden","Rabieta","0","0,0%"," $1.111,68"," $1.726,67","35,6%","0,0%","5%","0,0%"," $1.111,68","0,0%"," $1.813,00","38,7%","0,00%"," $2.241,21"," $1.450,40","-54,5%","0,00%","","","","","","","","",""
"Scottish","Rabieta","0","0,0%"," $1.111,68"," $1.726,67","35,6%","0,0%","5%","0,0%"," $1.111,68","0,0%"," $1.813,00","38,7%","0,00%"," $1.052,00"," $1.450,40","27,5%","0,00%","","","","","","","","",""
"Flow apa","Filidoro","100","1,7%"," $1.813,65","","","","5%","0,1%"," $1.813,65","0,0%"," $3.297,54","45,0%","0,76%"," $1.656,63"," $2.638,03","37,2%","0,63%"," $3.165,64","42,7%","0,72%","","","","","",""
"Black soul Stout","Filidoro","100","1,7%"," $1.807,05","","","","5%",""," $1.807,05",""," $3.285,54","","","","","","","","","","","","","","",""
"Cosmica","Filidoro","100","1,7%"," $1.443,75","2500","","","5%",""," $1.443,75",""," $2.625,00","","","","","","","","","","","","","","",""
"Wolf Ipa 0%","Ocaso","600","10,1%"," $1.886,00","","","","5%",""," $1.886,00",""," $3.096,31","","","","","","","","","","","","","","",""
"Bhavi","Ocaso","50","0,8%","","","","","5%","","","","","","","","","","","","","","","","","","",""
"","","5.950","1"," $1.042,65"," $1.725,23","39,6%","40%","5%","0"," $1.042,65","0%"," $1.813,00","42,5%","42%"," $1.615,74"," $1.450,40","-11,4%","-6%","","","","","","","","",""
