"Organic Honey "," $1.070,69","7,9"," $1.155,00","1,5"," $1.172,85","1,6"," $1.191,80","0,0"," $1.191,80","11,0","5","6,0","","","","","","","","","","","","","","",""
"abril 26","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estilo","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa"," $918,00"," $45,90"," $55,08"," $1.018,98","","","","","","","","","","","","","","","","","","","","","","",""
"Indie Golden"," $1.118,00"," $55,90"," $67,08"," $1.240,98","","","","","","","","","","","","","","","","","","","","","","",""
"Scottish"," $1.118,00"," $55,90"," $67,08"," $1.240,98","","","","","","","","","","","","","","","","","","","","","","",""
"Flow apa"," $1.813,65"," $90,68"," $108,82"," $2.013,15","","","","","","","","","","","","","","","","","","","","","","",""
"Black soul Stout"," $1.807,05"," $90,35"," $108,42"," $2.005,82","","","","","","","","","","","","","","","","","","","","","","",""
"Cosmica"," $1.706,25"," $85,31"," $102,38"," $1.893,94","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa 0%"," $2.022,00"," $101,10"," $121,32"," $2.244,42","","","","","","","","","","","","","","","","","","","","","","",""
"Estilo","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa"," $1.019","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indie Golden"," $1.241","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indie Golden Mundial"," $1.455","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scottish"," $1.241","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Flow apa"," $2.013","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Black soul Stout"," $2.006","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cosmica"," $1.894","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa 0%"," $2.244","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8,7","21","","","","","","","","","","","","","","","","","","","","","","","",""
"Flow apa"," $3.297,54"," $286,89"," $692,48"," $4.276,91"," $25.661,46","","","","","","","","","","","","","","","","","","","","","",""
"Black soul Stout"," $3.285,54"," $285,84"," $689,96"," $4.261,35","","","","","","","","","","","","","","","","","","","","","","",""
"Cosmica"," $2.625,00"," $228,38"," $551,25"," $3.404,63","","","","","","","","","","","","","","","","","","","","","","",""
"stout","3.007,61","261,66207","631,5981","3.900,87","195.043,51","","","","","","","","","","","","","","","","","","","","","",""
"apa","3.654,26","317,92062","767,3946","4.739,58","236.978,76","","","","","","","","","","","","","","","","","","","","","",""
