"","","","","","","","","","5,00%","2,00%","","","","","20%","","","20%","","","","","","","","",""
"RESUMEN LITROS BARRIL","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa ","Ortuzar","6.315","21,2%"," $1.772,50"," $3.815,81","53,5%","11,4%","8%","1,7%"," $1.772,50","0,0%"," $4.121,07","57,0%","12,09%"," $1.772,50"," $3.296,86","46,2%","9,81%"," $3.956,23","55,2%","11,71%","","","","","",""
"Golden ","Ortuzar","11.066","37,2%"," $1.136,94"," $2.493,49","54,4%","20,2%","8%","3,0%"," $1.136,94","0,0%"," $2.692,97","57,8%","21,49%"," $1.136,94"," $2.154,37","47,2%","17,56%"," $2.585,25","56,0%","20,83%","","","","","",""
"Organic Honey ","Ortuzar","4.768","16,0%"," $1.261,05"," $2.581,87","51,2%","8,2%","8%","1,3%"," $1.261,05","0,0%"," $2.788,42","54,8%","8,78%"," $1.261,05"," $2.230,73","43,5%","6,96%"," $2.676,88","52,9%","8,47%","","","","","",""
"Scottish ","Ortuzar","4.296","14,4%"," $1.209,70"," $2.581,87","53,1%","7,7%","8%","1,2%"," $1.209,70","0,0%"," $2.788,42","56,6%","8,17%"," $1.209,70"," $2.230,73","45,8%","6,61%"," $2.676,88","54,8%","7,91%","","","","","",""
"Black Stout FILI","Filidoro","1.583","5,3%"," $1.858,48"," $3.379,05","45,0%","2,4%","8%","0,4%"," $2.007,15","8,0%"," $3.649,37","45,0%","2,39%"," $2.007,15"," $2.919,50","31,3%","1,66%"," $3.503,40","42,7%","2,27%","","","","","",""
"Flow Apa FILI","Filidoro","1.330","4,5%"," $2.258,06"," $4.105,56","45,0%","2,0%","8%","0,4%"," $2.438,70","8,0%"," $4.434,01","45,0%","2,01%"," $2.438,70"," $3.547,21","31,3%","1,40%"," $4.256,65","42,7%","1,91%","","","","","",""
"Cosmica ","Filidoro","400","1,3%"," $2.728,30"," $4.197,38","35,0%","0,5%","8%","0,1%"," $2.946,56","8,0%"," $4.533,17","35,0%","0,47%"," $2.946,56"," $3.626,53","18,7%","0,25%"," $4.351,84","32,3%","0,43%","","","","","",""
"","","29.758","100%"," $1.746,43"," $3.307,86","48,2%","52%","8%","8%"," $1.824,66","3%"," $3.572,49","50,2%","55%"," $1.824,66"," $2.857,99","37,7%","44%"," $3.429,59","48,1%","54%","","","","","",""
"RESUMEN Litros  Lata","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa","Cmq","2.757","29,4%"," $918,00"," $1.818,00","49,5%","14,6%","10%","2,9%"," $917,54","-0,1%"," $1.999,80","54,1%","15,91%"," $917,54"," $1.599,84","42,6%","12,54%"," $1.679,83","45,4%","13,34%","","","","","",""
"Indie Golden","Bierhaus","2.414","25,7%"," $1.118,00"," $1.818,00","38,5%","9,9%","10%","2,6%"," $1.132,30","1,3%"," $1.999,80","43,4%","11,17%"," $1.132,30"," $1.599,84","29,2%","7,52%"," $1.679,83","32,6%","8,39%","","","","","",""
"Golden Lager Mundial","Bierhaus","2.000","21,3%"," $1.251,50"," $1.818,00","31,2%","6,6%","10%","2,1%"," $1.251,50","0,0%"," $1.999,80","37,4%","7,98%"," $1.251,50"," $1.599,84","21,8%","4,64%"," $1.679,83","25,5%","5,44%","","","","","",""
"Scottish","Bierhaus","1.703","18,2%"," $1.118,00"," $1.818,00","38,5%","7,0%","10%","1,8%"," $1.132,30","1,3%"," $1.999,80","43,4%","7,88%"," $1.132,30"," $1.599,84","29,2%","5,31%"," $1.679,83","32,6%","5,92%","","","","","",""
"Flow apa","Filidoro","100","1,1%"," $1.813,65"," $3.297,54","45,0%","0,5%","10%","0,1%"," $1.958,74","8,0%"," $3.627,29","46,0%","0,49%"," $1.945,47"," $2.901,84","33,0%","0,35%"," $3.046,93","35,7%","0,38%","","","","","",""
"Black soul Stout","Filidoro","73","0,8%"," $1.807,05"," $3.285,54","45,0%","0,4%","10%","0,1%"," $1.951,61","8,0%"," $3.614,09","46,0%","0,36%"," $1.939,00"," $2.891,28","32,9%","0,26%"," $3.035,84","35,7%","0,28%","","","","","",""
"Cosmica","Filidoro","70","0,7%"," $1.706,25"," $2.625,00","35,0%","0,3%","10%","0,1%"," $1.842,75","8,0%"," $2.887,50","36,2%","0,27%"," $1.842,75"," $2.887,50","36,2%","0,27%"," $2.887,50","36,2%","0,27%","","","","","",""
"Wolf Ipa 0%","Ocaso","259","2,8%"," $2.063,00"," $3.096,31","33,4%","0,9%","10%","0,3%"," $2.092,20","1,4%"," $3.405,94","38,6%","1,07%"," $2.092,20"," $2.724,75","23,2%","0,64%"," $2.860,99","26,9%","0,74%","","","","","",""
"","","9.376","100%"," $1.474,43"," $2.447,05","39,5%","40%","10%","10%"," $1.534,87","3%"," $2.691,75","44,6%","45%"," $1.108,41"," $2.225,59","31,0%","32%"," $2.318,82","33,8%","35%","","","","","",""
"RESUMEN Litros  Lata","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa"," $917,54","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indie Golden"," $1.132,30","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Golden Lager Mundial"," $1.251,50","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scottish"," $1.132,30","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Flow apa"," $1.958,74","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Black soul Stout"," $1.951,61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cosmica"," $1.842,75","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa 0%"," $2.092,20","","","","","","","","","","","","","","","","","","","","","","","","","",""
