"","","","","","","","","","5,00%","2,00%","","","","","20%","","","20%","","","","","","","","",""
"RESUMEN LITROS BARRIL","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa ","Ortuzar","7.110","21,1%"," $1.710,45"," $3.815,81","55,2%","11,7%","0%","0,0%"," $1.728,30","1,0%"," $3.815,81","54,7%","11,56%"," $1.728,30"," $3.052,64","43,4%","9,17%"," $3.663,17","52,8%","11,17%","","","","","",""
"Golden ","Ortuzar","12.500","37,2%"," $1.056,30"," $2.493,49","57,6%","21,4%","0%","0,0%"," $1.074,15","1,7%"," $2.493,49","56,9%","21,15%"," $1.074,15"," $1.994,79","46,2%","17,15%"," $2.393,75","55,1%","20,49%","","","","","",""
"Organic Honey ","Ortuzar","5.400","16,1%"," $1.155,00"," $2.581,87","55,3%","8,9%","0%","0,0%"," $1.179,15","2,1%"," $2.581,87","54,3%","8,72%"," $1.179,15"," $2.065,49","42,9%","6,89%"," $2.478,59","52,4%","8,42%","","","","","",""
"Scottish ","Ortuzar","4.550","13,5%"," $1.155,00"," $2.581,87","55,3%","7,5%","0%","0,0%"," $1.172,85","1,5%"," $2.581,87","54,6%","7,38%"," $1.172,85"," $2.065,49","43,2%","5,85%"," $2.478,59","52,7%","7,13%","","","","","",""
"Black Stout FILI","Filidoro","1.618","4,8%"," $1.858,48"," $3.379,05","45,0%","2,2%","0%","0,0%"," $1.858,48","0,0%"," $3.379,05","45,0%","2,16%"," $1.858,48"," $2.703,24","31,3%","1,50%"," $3.243,89","42,7%","2,05%","","","","","",""
"Flow Apa FILI","Filidoro","1.454","4,3%"," $2.258,06"," $4.105,56","45,0%","1,9%","0%","0,0%"," $2.258,06","0,0%"," $4.105,56","45,0%","1,95%"," $2.258,06"," $3.284,45","31,3%","1,35%"," $3.941,34","42,7%","1,85%","","","","","",""
"Cosmica ","Filidoro","1.004","3,0%"," $3.189,56"," $4.197,38","24,0%","0,7%","0%","0,0%"," $2.938,16","-7,9%"," $4.197,38","30,0%","0,90%"," $2.938,16"," $3.357,90","12,5%","0,37%"," $4.029,48","27,1%","0,81%","","","","","",""
"","","33.636","100%"," $1.768,98"," $3.307,86","48,2%","54%","0%","0"," $1.744,16","-2%"," $3.307,86","48,6%","54%"," $1.744,16"," $2.646,29","35,8%","42%"," $3.175,54","46,5%","52%","","","","","",""
"RESUMEN Litros  Lata","Fason","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa","Cmq","5.820","34,2%"," $904,58"," $1.818,00","50,2%","17,2%","0%","0,0%"," $1.053,41","16,5%"," $1.818,00","42,1%","14,38%"," $1.053,41"," $1.454,40","27,6%","9,43%"," $1.745,28","39,6%","13,56%","","","","","",""
"Indie Golden","Bierhaus","5.410","31,8%"," $1.111,68"," $1.818,00","38,9%","12,4%","0%","0,0%"," $1.111,68","0,0%"," $1.818,00","38,9%","12,35%"," $1.111,68"," $1.454,40","23,6%","7,49%"," $1.745,28","36,3%","11,54%","","","","","",""
"Scottish","Bierhaus","5.005","29,4%"," $1.111,68"," $1.818,00","38,9%","11,4%","0%","0,0%"," $1.111,68","0,0%"," $1.818,00","38,9%","11,43%"," $1.111,68"," $1.454,40","23,6%","6,93%"," $1.745,28","36,3%","10,68%","","","","","",""
"Flow apa","Filidoro","108","0,6%"," $1.813,65"," $3.297,54","45,0%","0,3%","0%","0,0%"," $1.813,65","0,0%"," $3.297,54","45,0%","0,29%"," $1.813,65"," $2.638,03","31,3%","0,20%"," $3.165,64","42,7%","0,27%","","","","","",""
"Black soul Stout","Filidoro","75","0,4%"," $1.807,05"," $3.285,54","45,0%","0,2%","0%","0,0%"," $1.807,05","0,0%"," $3.285,54","45,0%","0,20%"," $1.807,05"," $2.628,43","31,3%","0,14%"," $3.154,12","42,7%","0,19%","","","","","",""
"Cosmica","Filidoro","104","0,6%"," $1.443,75"," $2.625,00","45,0%","0,3%","0%","0,0%"," $1.837,50","27,3%"," $2.625,00","30,0%","0,18%"," $1.837,50"," $2.100,00","12,5%","0,08%"," $2.520,00","27,1%","0,17%","","","","","",""
"Wolf Ipa 0%","Ocaso","497","2,9%"," $1.886,00"," $3.096,31","39,1%","1,1%","0%","0,0%"," $1.938,00","2,8%"," $3.096,31","37,4%","1,09%"," $1.938,00"," $2.477,05","21,8%","0,64%"," $2.972,46","34,8%","1,02%","","","","","",""
"","","17.019","100%"," $1.439,77"," $2.536,91","43,1%","43%","0%","0"," $1.524,71","46%"," $2.536,91","39,9%","40%"," $1.092,26"," $2.029,53","24,5%","25%"," $2.435,44","37,1%","37%","","","","","",""
"","","","","","","","","2493,49","2710,42363","","","","","","","","","","","","","","","","","",""
"Wolf Ipa "," $1.754,49"," $3.815,81","54,0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Golden "," $1.096,52"," $2.493,49","56,0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Organic Honey "," $1.195,94"," $2.581,87","53,7%","","","","","","","","","","","","","","","","","","","","","","","",""
"Scottish "," $1.190,25"," $2.581,87","53,9%","","","","","","","","","","","","","","","","","","","","","","","",""
